id,start_lat,start_lon,end_lat,end_lon,length,green_count,path_json
131,32.0810402,34.7800388,32.0807558,34.7800394,31.623887661509553,1,"[[32.0810402, 34.7800388], [32.0807558, 34.7800394]]"
132,32.0815285,34.7798616,32.0814219,34.7798336,12.14338140556332,0,"[[32.0815285, 34.7798616], [32.0814219, 34.7798336]]"
133,32.0817242,34.7811431,32.0817229,34.7812726,12.201634501811645,0,"[[32.0817242, 34.7811431], [32.0817229, 34.7812726]]"
134,32.0815359,34.782039,32.0809369,34.7821201,67.09550400256,3,"[[32.0815359, 34.782039], [32.0813192, 34.7820788], [32.081102, 34.7821095], [32.0809369, 34.7821201]]"
135,32.0814219,34.7798336,32.0814083,34.779915,7.816763417053365,0,"[[32.0814219, 34.7798336], [32.0814083, 34.779915]]"
136,32.0795982,34.7813098,32.0803254,34.7813198,80.86643934592817,4,"[[32.0795982, 34.7813098], [32.0803254, 34.7813198]]"
137,32.0803254,34.7813198,32.0814038,34.7813145,120.56159358238206,7,"[[32.0803254, 34.7813198], [32.0809252, 34.7813456], [32.0813521, 34.7813432], [32.0814038, 34.7813145]]"
138,32.0785275,34.7812012,32.0793299,34.781224,89.25267979756562,5,"[[32.0785275, 34.7812012], [32.0788086, 34.7812049], [32.0793299, 34.781224]]"
139,32.0815004,34.7812752,32.0815186,34.7811371,13.167500345317755,0,"[[32.0815004, 34.7812752], [32.0815186, 34.7811371]]"
140,32.0815004,34.7812752,32.0814038,34.7813145,11.36168415599715,0,"[[32.0815004, 34.7812752], [32.0814038, 34.7813145]]"
141,32.0809369,34.7821201,32.0809936,34.7828636,72.28492185869226,4,"[[32.0809369, 34.7821201], [32.0809147, 34.7826815], [32.0809365, 34.7827495], [32.0809936, 34.7828636]]"
142,32.0807558,34.7800394,32.0807569,34.7800992,5.635414477571917,0,"[[32.0807558, 34.7800394], [32.0807569, 34.7800992]]"
